chrlbl,citations,definition,first_citation_date,first_citation_text,last_citation_date,last_citation_text,part_of_speech,word,family
20C+,"[{'@first': 'yes', 'date': '1987', 'aut': 'Red & Bigelow', 'tit': 'Near Dark', '#text': '[film script] Caleb jumps out. Has a casual look around him. Like he wouldn’t piss if his pants were on fire. He lights up a Marlboro. Deep heels it up to the window'}, {'@class': 'new', 'date': '1991', 'aut': 'M. Cormany', 'tit': 'Polaroid Man', 'num': '52', '#text': 'This man is so dumb he wouldn’t piss if his pants were on fire'}]","a phr. used of an especially dull, stupid-looking person",1987,[film script] Caleb jumps out. Has a casual look around him. Like he wouldn’t piss if his pants were on fire. He lights up a Marlboro. Deep heels it up to the window,1991.0,This man is so dumb he wouldn’t piss if his pants were on fire,phrase,he looks like he wouldn’t piss if his pants were on fire,piss
1970s,"{'@first': 'yes', 'date': '1970', 'tit': 'San Diego Sailor', 'num': 'n.p.', '#text': '‘Right now he’s plotting how to snatch you.’ [...] ‘I’ll be pissed if he ever does. What do I look like?’'}",a phr. implying impossibility,1970,‘Right now he’s plotting how to snatch you.’ [...] ‘I’ll be pissed if he ever does. What do I look like?’,1970.0,‘Right now he’s plotting how to snatch you.’ [...] ‘I’ll be pissed if he ever does. What do I look like?’,phrase,I’ll be pissed,piss
late 17C,"{'@first': 'yes', 'date': '1667', 'aut': 'Pepys', 'tit': ['Diary', 'DSUE'], 'num': 'n.p.', 'src': 'Partridge', 'edn': '1984', '#text': '15 Nov.  cited in'}","to annoy, to infuriate, to disgust",1667,15 Nov.  cited in,1667.0,15 Nov.  cited in,phrase,make someone piss,piss
1980s,"{'@first': 'yes', 'date': '1981', 'aut': 'A. Weller', 'tit': 'Day of the Dog', 'num': '58', '#text': 'That new bloke she’s got now beat ’er black and blue. I’ll make ’im piss when I catch up with ’im'}","to beat up, to defeat",1981,That new bloke she’s got now beat ’er black and blue. I’ll make ’im piss when I catch up with ’im,1981.0,That new bloke she’s got now beat ’er black and blue. I’ll make ’im piss when I catch up with ’im,phrase,make someone piss,piss
1950s+,"[{'@first': 'yes', 'date': '1951', 'aut': 'J. Blake', 'tit': 'Joint', 'edn': '1972', 'num': '29', '#text': 'letter 30 Dec. in It’s no use to piss and moan about it'}, {'date': '1959', 'aut': 'E. Cray', 'tit': 'Erotic Muse', 'edn': '1992', 'num': '405', '#text': 'in Now the first pass was made on the 497, / Colonel S-----s was up ahead, / And he pissed and he moaned, and he shit and he groaned, / For he thought he would surely be dead'}, {'date': '1970', 'aut': 'G.V. Higgins', 'tit': 'Friends of Eddie Coyle', 'edn': '1973', 'num': '28', '#text': 'Six months ago you used to piss and moan something awful'}, {'@class': 'N331', 'date': '1977', 'aut': 'L. Heinemann', 'tit': 'Close Quarters', 'edn': '1987', 'num': '38', '#text': 'Around five the cooks finally threw us out, pissing and moaning about the butts on the floor and the mess'}, {'date': '1981', 'aut': 'G.V. Higgins', 'tit': 'Rat on Fire', 'edn': '1982', 'num': '77', '#text': 'Dannaher, when he got through pissing and moaning about going in the woods, shut up'}, {'@class': 'N331', 'date': '1986', 'aut': 'L. Heinemann', 'tit': 'Paco’s Story', 'edn': '1987', 'num': '27', '#text': 'The medic would always imagine the dust-off medics pissing and moaning [...] about the blood slopped all over the inside'}, {'date': '1997', 'aut': 'Simon & Burns', 'tit': 'Corner', 'edn': '1998', 'num': '103', '#text': 'Every day, Gary pisses and moans over her crudball moves'}, {'date': '2001', 'aut': 'N. Green', 'tit': 'Shooting Dr. Jack', 'edn': '2002', 'num': '119', '#text': 'He pissed and moaned about how much his life sucked'}, {'@class': 'new', 'date': '2008', 'aut': 'Simon & Mills', 'tit': 'Wire', '#text': '‘React Quotes’ ser. 5 ep. 5 [TV script] He goes quietly. And now he’s making twelve a year more than when he was Commisioner [...] You think that happens if he does the piss and moan?'}, {'@class': 'new', 'date': '2010', 'con': '1973', 'aut': 'C. Stella', 'tit': 'Johnny Porno', 'num': '14', '#text': 'Find new blood instead of pissing and moaning'}]","to complain, to whinge",1951,letter 30 Dec. in It’s no use to piss and moan about it,2010.0,Find new blood instead of pissing and moaning,phrase,piss and moan,piss
1920s+,"[{'@first': 'yes', 'date': '1984', 'aut': 'Partridge', 'tit': 'DSUE', 'edn': '8th edn', 'num': '890', '#text': '[...] since ca. 1920'}, {'@class': 'new', 'date': '2001', 'aut': 'P. Magrs', 'tit': 'All the Rage', 'num': '47', '#text': '‘I don’t piss-arse about.’ ‘No, Roy’'}]",to mess about,1984,[...] since ca. 1920,2001.0,"‘I don’t piss-arse about.’ ‘No, Roy’",phrase,piss-arse about,piss
20C+,"[{'pre': '1700', 'aut': 'T. Brown', 'tit': ['Amusements Serious and Comical', 'Works'], 'edn': '1744', 'num': '94', '#text': 'in  III Thither [i.e. the tavern] libertines repair to drink away their brains, and piss away their estates]'}, {'pre': '1707', 'aut': 'N. Ward', 'tit': 'London Terraefilius', 'num': '37', 'i': 'Fuddle Caps', '#text': 'II The  of the Town shall impair their Health, Piss away their Wealth, and waste their Time]'}, {'@first': 'yes', 'date': '1933', 'aut': 'J.T. Farrell', 'tit': 'Gas-House McGinty', 'num': '3', '#text': 'I was p-----g my dough away'}, {'@class': 'N331', 'date': '1934', 'aut': 'H. Miller', 'tit': 'Tropic of Cancer', 'edn': '1963', 'num': '160', '#text': 'Don’t begrudge the fifty francs you hand her because you know her pimp is pissing it away in the Faubourg Montmartre'}, {'date': '1949', 'aut': 'H. Miller', 'tit': 'Sexus', 'edn': '1969', 'num': '238', '#text': 'A guy had to be a sap to piss away his money on a gift for a whore'}, {'date': '1952', 'con': '1920s', 'aut': '‘Harry Grey’', 'tit': 'Hoods', 'edn': '1953', 'num': '144', '#text': 'You got yourself a racket that should earn you about four hundred bucks a week [...] don’t go pissing it away'}, {'@class': 'N331', 'date': '1959', 'aut': 'W. Burroughs', 'tit': 'Naked Lunch', 'edn': '1968', 'num': '144', '#text': 'She won’t piss any more of my loot down the drain'}, {'date': '1967', 'aut': 'L. Bruce', 'tit': 'Essential Lenny Bruce', 'num': '19', '#text': 'We piss away a million dollars on radio Free Europe'}, {'date': '1975', 'aut': 'E. Torres', 'tit': 'Carlito’s Way', 'num': '62', '#text': 'When I think of the bread I’ve pissed away!'}, {'date': '1981', 'aut': 'G.V. Higgins', 'tit': 'Rat on Fire', 'edn': '1982', 'num': '58', '#text': 'I’m not pushing my luck like that, pissing away everything I got'}, {'@class': 'N331', 'date': '1986–7', 'tit': 'Maledicta', 'num': '160', 'b': ['piss down anyone’s back', 'piss away'], 'i': 'Dictionajy of the Vulgar Tongue,', '#text': 'IX Today expressions such as (to flatter, in Grose’s 1811 edition) are obsolete but we still (squander)'}, {'date': '1993', 'aut': 'T. Jones', 'tit': 'Pugilist at Rest', 'num': '158', '#text': 'Are you still pissing your money away on lottery tickets?'}, {'date': '1997', 'aut': 'Simon & Burns', 'tit': 'Corner', 'edn': '1998', 'num': '59', '#text': 'They all do it not so much for the cash — which they piss away anyway — but for a brief sense of self'}, {'@class': 'N331', 'date': '2000', 'tit': 'Guardian', 'num': '69', '#text': 'Guide 15 – 21 Jan. Surely no finer analogy for pissing money away'}, {'date': '2004', 'aut': 'T. Winton', 'tit': 'Turning', 'edn': '2005', 'num': '150', '#text': 'He [...] pissed his pay away at the pub'}, {'@class': 'new', 'date': '2012', 'aut': 'J.J. DeCeglie', 'tit': 'Crime Factory: Hard Labour', '#text': '‘Death Cannot Be Delegated’ in  [ebook] Money and me don’t go [...] You can imagine I guess. I piss it away'}, {'@class': 'new19B', 'date': '2017', 'aut': 'S.M. Jones', 'tit': 'August Snow', '#text': '[ebook] Even with the money I’d pissed away [...] I still had more money than I could ever imagine spending in three lifetimes'}]",to waste,1700,"in  III Thither [i.e. the tavern] libertines repair to drink away their brains, and piss away their estates]",2017.0,[ebook] Even with the money I’d pissed away [...] I still had more money than I could ever imagine spending in three lifetimes,phrase,piss away,piss
late 19C+,"[{'@first': 'yes', 'date': '1937–84', 'aut': 'Partridge', 'tit': 'DSUE', 'edn': '1984', 'num': '890/1', '#text': 'late C.19–20'}, {'@class': 'new', 'date': '1998', 'aut': 'J. Charyn', 'tit': 'Death of a Tango King', 'num': '46', '#text': 'We had to piss blood, but we got it. You’re our ‘man’ in Medellin'}, {'@class': 'new', 'pre': '2008', 'tit': 'Japan Close-Up', 'num': '30', '#text': '13 You once told the heads of your sales agents about working so hard that you ‘piss blood’]'}]",to work extremely hard,1937,late C.19–20,2008.0,13 You once told the heads of your sales agents about working so hard that you ‘piss blood’],phrase,piss blood,piss
1960s+,"{'@first': 'yes', 'date': '1974', 'aut': 'G.V. Higgins', 'tit': 'Cogan’s Trade', 'edn': '1975', 'num': '33', '#text': 'So everybody pisses blood for a while [...] the way they always do when the shit hits the fan'}","to worry excessively, to make a great fuss",1974,So everybody pisses blood for a while [...] the way they always do when the shit hits the fan,1974.0,So everybody pisses blood for a while [...] the way they always do when the shit hits the fan,phrase,piss blood,piss
1960s+,"{'@first': 'yes', 'date': '1997', 'aut': 'N. Barlay', 'tit': 'Curvy Lovebox', 'num': '43', '#text': 'Blower [...] tells Isaacs he’s gonna make him piss blood'}",to suffer a great deal,1997,Blower [...] tells Isaacs he’s gonna make him piss blood,1997.0,Blower [...] tells Isaacs he’s gonna make him piss blood,phrase,piss blood,piss
late 19C–1900s,"[{'@class': 'new', 'pre': '1672', 'aut': 'J. Phillips', 'tit': 'Maronides', 'edn': '1678', 'num': '19', 'i': 'Jove’s', '#text': 'VI Though they came out of  own Twist, / Or from a Goddess engine pist]'}, {'@first': 'yes', 'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}]","to go into labour, to give birth",1672,"VI Though they came out of  own Twist, / Or from a Goddess engine pist]",1890.0,,phrase,piss bones,piss
1960s+,"[{'@first': 'yes', 'date': '1977', 'aut': 'D. Powis', 'tit': 'Signs of Crime', 'num': '196', '#text': 'Piss (broken) glass, to Descriptive phrase referring to gonorrhoea or any urinary infection'}, {'date': '1985', 'tit': 'Tracks', 'num': '45', 'org': 'Moore 1993', '#text': '(Aus.) June Dear Doctor, Recently I fucked the brains out of a northern bushpig. Two weeks later my cock has been stinging after I have a piss, I feel like I have just urinated a pack of razor blades'}]","to have venereal disease, esp. gonorrhoea",1977,"Piss (broken) glass, to Descriptive phrase referring to gonorrhoea or any urinary infection",1985.0,"(Aus.) June Dear Doctor, Recently I fucked the brains out of a northern bushpig. Two weeks later my cock has been stinging after I have a piss, I feel like I have just urinated a pack of razor blades",phrase,piss broken glass,piss
late 18C–early 19C,"[{'@class': 'new', '@first': 'yes', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'u': 'Pissing down any ones Back', '#text': 'ms. additions , to Flatter him or her'}, {'date': '1796', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '3rd edn', 'num': 'n.p.', 'scaps': 'Issing down any one’s Back', '#text': 'P. Flattering him'}, {'date': '1811', 'tit': 'Lex. Balatronicum', '#text': '[as cit. 1796]'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]",to flatter someone,1786,"ms. additions , to Flatter him or her",1823.0,,phrase,piss down someone’s back,piss
2010s,"{'@class': 'edited', '@first': 'yes', 'date': '2012', 'aut': 'L. Jose', 'tit': 'Crime Factory: Hard Labour', '#text': '‘Underhooks’ in  [ebook] Wee-wee in the fucking cup and stop wasting my time [...] save the piss-farting about'}",to waste time,2012,‘Underhooks’ in  [ebook] Wee-wee in the fucking cup and stop wasting my time [...] save the piss-farting about,2012.0,‘Underhooks’ in  [ebook] Wee-wee in the fucking cup and stop wasting my time [...] save the piss-farting about,phrase,piss-fart,piss
late 17C–mid-18C; 1950s,"[{'@first': 'yes', 'ante': '1678', 'aut': 'Marvell', 'tit': 'Poetical Works', 'src': 'Murray', 'edn': '1870', 'num': '188', '#text': 'in I’ll have a council shall sit always still, And give me a license to do what I will; and two secretaries shall piss through a quill'}, {'date': '1740', 'aut': 'R. North', 'tit': 'Examen', 'num': '78', '#text': 'So strangely did Papist and Fanatic, or the Anticourt Party, p—s in a Quill; agreeing in all Things that tended to create Troubles and Disturbances'}, {'date': '1953', 'aut': 'Randolph & Wilson', 'tit': 'Down in the Holler', 'num': '117', 'i': 'piss through the same quill', '#text': 'When two persons are very intimate and have no secrets from each other, the hillman says that they'}]",to agree on a plan,1678,"in I’ll have a council shall sit always still, And give me a license to do what I will; and two secretaries shall piss through a quill",1953.0,"When two persons are very intimate and have no secrets from each other, the hillman says that they",phrase,piss in a quill,piss
1990s+,"[{'@first': 'yes', 'date': '1991', 'aut': 'D. Simon', 'tit': 'Homicide', 'edn': '1993', 'num': '580', '#text': 'This motherfucker’s pissing all over us and calling it rain'}, {'date': '2000', 'aut': 'W.T. Vollmann', 'tit': 'Royal Family', 'num': '490', '#text': 'Oh, quit pissin’ in my ear and tellin’ me it’s rainin’'}, {'@class': 'new', 'date': '2012', 'aut': 'D. Whish-Wilson', 'tit': 'Crime Factory: Hard Labour', '#text': '‘In Savage Freedom’ in  [ebook] Don’t piss on my back and tell me it’s raining'}]",to deceive,1991,This motherfucker’s pissing all over us and calling it rain,2012.0,‘In Savage Freedom’ in  [ebook] Don’t piss on my back and tell me it’s raining,phrase,piss in someone’s ear and tell them it’s raining,piss
1960s+,"[{'@class': 'new', '@first': 'yes', 'date': '1967', 'aut': 'K. Tennant', 'tit': 'Tell Morning This', 'num': '283', '#text': 'Soon’s they knew you was in with Numismata, they all want to piss in your pocket.'}, {'@class': 'new', 'date': '1970', 'tit': 'London Mag.', 'num': '40', '#text': ""7-12 I’m a dynamic you-piss-in-my-pocket-and-I'll-piss-in-yours personality, taking care of the Mediterranean prawn guzzlings at The Mirabelle""}, {'date': '1971', 'aut': 'F.J. Hardy', 'tit': 'Outcasts of Foolgarah', 'edn': '1975', 'num': '83', '#text': 'If we piss in his pocket, he’s just as apt to come our way'}, {'date': '1986', 'aut': 'R. Beckett', 'tit': 'Dinkum Aussie Dict.', 'num': '41', '#text': 'Piss in the same pot: The same as ‘pee in the same pot’ which is very nearly the same as the Americanism to whit, ‘to piss in someone’s pocket’ [...] In general terms to be a crawler or to suck up to someone'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '84/2', 'b': 'piss in someone’s pocket', '#text': 'attempt to ingratiate; eg ‘If you want to get in the team you’ll just have to piss in his pocket.’'}, {'@class': 'new', 'date': '1992', 'aut': 'R.G. Barrett', 'tit': 'White Shoes', 'num': '64', '#text': 'For the amount of pissing in each other’s pockets, they should both have been wearing neoprene suits'}, {'@class': 'N331', 'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '272', 'scaps': 'usage', 'b': 'pissing in the OC’s pocket', '#text': ': ‘Bill is always  for a stripe’'}, {'date': '1996', 'aut': 'S. Maloney', 'tit': 'Brush-Off', 'edn': '1998', 'num': '154', '#text': 'He’s also engaging in a bit of mutual pocket pissing with Max Karlin'}, {'date': '2001', 'con': '1945–6', 'aut': 'P. Doyle', 'tit': 'Devil’s Jump', 'edn': '2008', 'num': '184', '#text': 'If this is just another day of glad-handing and pissing in pockets, then, with respect, I don’t [...] want to tag along'}, {'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}]","to curry favour, to be extremely close to someone, to ingratiate oneself",1967,"Soon’s they knew you was in with Numismata, they all want to piss in your pocket.",2003.0,,phrase,piss in someone’s pocket,piss
None,"[{'@class': 'new', '@first': 'yes', 'date': '1988', 'aut': 'J. Westermann', 'tit': 'High Crimes', 'num': '186', '#text': ""Would you like me to piss in your pocket and tell you it's raining?""}, {'@class': 'new', 'date': '1989', 'aut': 'R.G. Barrett', 'tit': 'Boys from Binjiwunyawunya', 'num': '12', '#text': 'Come on. Don’t piss in our pockets'}, {'@class': 'new', 'date': '2008', 'aut': 'S. Pollock', 'tit': 'Coll. Works', 'num': '109', 'scaps': ['mrs. farley', 'johnny'], '#text': ""He’s a good man, Sergeant Windsor.  He’d piss in your pocket and swear it was rainin'.""}]","to deceive, to tell lies; in phr, , to deceive by flattery or ingratiation",1988,Would you like me to piss in your pocket and tell you it's raining?,2008.0,"He’s a good man, Sergeant Windsor.  He’d piss in your pocket and swear it was rainin'.",phrase,piss in someone’s pocket,piss
1950s+,"[{'@class': 'new', '@first': 'yes', 'date': '1957', 'aut': 'G.A. Wagner', 'tit': 'Rage on the Bar', 'num': '225', '#text': 'Telling that crummy chum [...] would be about as much use as pissing in the wind'}, {'date': '1966', 'aut': 'P. Boyle', 'tit': 'At Night All Cats Are Grey', 'num': '249', '#text': '‘You’re wrong, Mac,’ I say. ‘As well you might piss against the wind and start calling down Heaven to witness the spatters.’'}, {'@class': 'us', 'date': '1970', 'aut': 'E. Pace', 'tit': 'Saberlegs', 'edn': '1971', 'num': '58', 'org': 'OED', '#text': 'Putting words on newspaper pages was, if anything, even more ephemeral than intelligence-gathering. As they used to say at Dartmouth, it was all ‘pissing in the wind’'}, {'date': '1987', 'aut': 'R. Campbell', 'tit': 'Alice in La-La Land', 'edn': '1999', 'num': '60', '#text': 'You can’t be normal to good in certain professions [...] otherwise you’re pissin’ in the wind'}, {'date': '1997', 'aut': 'M. Walters', 'tit': 'Echo', 'num': '210', '#text': 'He realised that Lawrence’s advice about keeping one step ahead was about as useful as pissing in the wind'}, {'@class': 'N331', 'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '125', 'scaps': 'pissing into the wind', '#text': 'A person who is  will achieve littie other than an unpleasant shower'}, {'date': '2000', 'tit': 'Guardian', '#text': '17 Sept. [Internet] Rosenthal is pissing in the wind'}, {'@class': 'new', 'date': '2002', 'aut': 'Simon & Burns', 'tit': 'Wire', '#text': '‘The Target’ ep. 1 [TV script] He’s going to fuck this Barksdale thing up. Buy-busts? It’s pissing in the wind'}, {'@class': 'new16', 'date': '2013', 'aut': 'K. Koke', '#text': ""‘Fire in the Booth’ [lyrics] Your pissing in the wind if you think I'm gonna back down""}]",to waste one’s efforts or time,1957,Telling that crummy chum [...] would be about as much use as pissing in the wind,2013.0,‘Fire in the Booth’ [lyrics] Your pissing in the wind if you think I'm gonna back down,phrase,piss in(to) the wind,piss
1970s+,"[{'@first': 'yes', 'date': '1982', 'aut': 'Barr & York', 'tit': 'Sloane Ranger Hbk', 'num': '159', 'i': 'v', '#text': 'pissed it . ‘It pissed it’ equals won the horse-race easily'}, {'date': '2001', 'aut': 'N. Barlay', 'tit': 'Hooky Gear', 'num': '52', '#text': 'I mean, you . . . alright an everything? I mean— Yeah yeah course. Pissed it'}]","to succeed with no difficulty whatsoever, to win very easily",1982,pissed it . ‘It pissed it’ equals won the horse-race easily,2001.0,"I mean, you . . . alright an everything? I mean— Yeah yeah course. Pissed it",phrase,piss it,piss
1960s+,"[{'@first': 'yes', 'date': '1963–74', 'aut': 'B. Humphries', 'tit': ['Barry McKenzie', 'Complete Barry McKenzie'], 'edn': '1988', 'num': '52', '#text': '[comic strip] in Is that bastard still pissing it up down at the O’Shaughnessys?'}, {'date': '1965', 'aut': 'L. Dunne', 'tit': 'Goodbye to The Hill', 'edn': '1966', 'num': '185', '#text': 'The fact that she never mentioned drink left me thinking that he was pissing it up'}, {'date': '1998', 'aut': 'I. Welsh', 'tit': 'Filth', 'num': '29', '#text': 'I’m with that auld cunt Gus who won’t piss it up on duty'}, {'date': '2000', 'aut': 'J.J. Connolly', 'tit': 'Layer Cake', 'num': '91', '#text': 'They spend their lives pissin it up and greetin in their beer'}, {'@class': 'new19A', 'date': '2018', 'aut': 'C. Hammer', 'tit': 'Scrublands', '#text': '[ebook] ‘I was packed off to Geelong, back sometimes on holidays to ride horses and, when I was older, to piss it up at the pub’'}]",to drink,1963,[comic strip] in Is that bastard still pissing it up down at the O’Shaughnessys?,2018.0,"[ebook] ‘I was packed off to Geelong, back sometimes on holidays to ride horses and, when I was older, to piss it up at the pub’",phrase,piss it up,piss
late 15C+,"[{'@class': 'uk', '@first': 'yes', 'date': '1471', 'aut': 'G. Ripley', 'tit': ['Compound of Alchymy', 'Theatrum Chemicum Britannicum'], 'src': 'Ashmole', 'edn': '1652', 'num': '155', 'org': 'OED', '#text': 'V xxxi in But as for Mony yt ys pyssyd on the walls'}, {'date': '1592', 'aut': 'Nashe', 'tit': ['Strange Newes', 'Works'], 'edn': '1904–10', 'num': '287', '#text': 'in   A good fellowe hee was, and would have drunke with thee for more angels then the Lord thou libeldst on gave thee in Christs Colledge; and in one yeare pist as much against the walls, as thou and thy two brothers spent in three'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.', '#text': 'He shall not piss my money against the wall; he shall not have my money to spend in liquor'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}, {'@class': 'new', 'date': '1963', 'aut': 'D. Robert', 'tit': 'Look at Me Now', 'num': '114', '#text': ""They only go an’ piss it up against a wall when they've got it""}, {'date': '1965', 'aut': 'G. Melly', 'tit': 'Owning Up', 'edn': '1974', 'num': '146', '#text': 'He didn’t drink. ‘Don’t see no point in it,’ he explained. ‘Pissing all you get up against a wall.’'}, {'date': '1980', 'aut': 'Barltrop  &  Wolveridge', 'tit': 'Muvver Tongue', 'num': '92', '#text': 'A habitually boozy married man is judged severely. He is a ‘piss-tank’ – more explicitly, ‘he pisses his money up against the wall’'}, {'date': '1986–7', 'tit': 'Maledicta', 'num': '161', 'b': ['piss money against the wall', 'piss pins and needles', 'pisser', 'pissing while'], '#text': 'IX In the U.K. one may hear of [...] (squander), (from the sting of gonorrheal infection), (vagina, or anything unpleasant), (a moment), etc'}, {'date': '1989', 'aut': 'J. Morton', 'tit': 'Lowspeak', 'num': '113', '#text': 'Piss it out of the window – to waste money'}, {'date': '2000', 'tit': 'Indep. on Sun.', 'num': '14', '#text': 'Culture 19 Mar. I mean to say, if all we can sing about is pissing loads of money up the wall, the whole genre should go under the Hammerstein'}, {'@class': 'N331', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', 'num': '159', '#text': 'pissing it up against the wall Wasting your money or resources'}, {'@class': 'new18D', 'date': '2017', 'aut': 'T. Spicer', 'tit': 'Good Girl Stripped Bare', 'num': '122', 'scaps': ['gambing', 'drinking'], '#text': 'If you give [money] to men, they’ll piss it up the wall on  and'}]","to waste money, usu. on drink",1471,V xxxi in But as for Mony yt ys pyssyd on the walls,2017.0,"If you give [money] to men, they’ll piss it up the wall on  and",phrase,piss it up the wall,piss
1900s,"{'@class': 'new19C', '@first': 'yes', 'circa': '1900', 'aut': '‘Ramrod’', 'tit': 'Nocturnal Meeting', 'num': '62', '#text': 'Your cunt [...] doesn’t seem so bad and I daresay it will do as well to piss my juice in as another'}","of a man, to ejaculate, to achieve orgasm",1900,Your cunt [...] doesn’t seem so bad and I daresay it will do as well to piss my juice in as another,1900.0,Your cunt [...] doesn’t seem so bad and I daresay it will do as well to piss my juice in as another,phrase,piss one’s juice,piss
late 16C–17C,"[{'@first': 'yes', 'circa': '1597', 'aut': 'Shakespeare', 'tit': 'Merry Wives of Windsor', 'num': 'V iii', '#text': 'Send me a cool rut-time, Jove or who can blame me to piss my tallow?'}, {'date': '1678', 'aut': 'J. Ray', 'tit': 'Proverbs', 'edn': '2nd edn', 'num': '78', 'i': 'pist', '#text': 'He has  his tallow. This is spoken of bucks who grow lean after rutting time, and may be applied to men'}]","of a man, to be sufficiently sexually excited as to ejaculate (without actual intercourse)",1597,"Send me a cool rut-time, Jove or who can blame me to piss my tallow?",1678.0,"He has  his tallow. This is spoken of bucks who grow lean after rutting time, and may be applied to men",phrase,piss one’s tallow,piss
1920s,"{'@first': 'yes', 'date': '1993', 'aut': 'I.L. Allen', 'tit': 'City in Sl.', 'edn': '1995', 'num': '70', 'i': 'to piss on ice', '#text': '(ref. to 1920s) To visit such an elegant establishment, it was said among men by the 1920s, was , because of the old practice of fine places to put blocks of ice in the urinals to give continuous flush and keep down the odor'}","to live well, esp. to visit an upmarket restaurant (where blocks of ice are placed in the urinals)",1993,"(ref. to 1920s) To visit such an elegant establishment, it was said among men by the 1920s, was , because of the old practice of fine places to put blocks of ice in the urinals to give continuous flush and keep down the odor",1993.0,"(ref. to 1920s) To visit such an elegant establishment, it was said among men by the 1920s, was , because of the old practice of fine places to put blocks of ice in the urinals to give continuous flush and keep down the odor",phrase,piss on ice,piss
1940s+,"[{'@first': 'yes', 'date': '1951', 'aut': 'R.M. Nixon', '#text': 'comment to Dwight Eisenhower [oral record] General—there comes a time when you have to piss or get off the pot!'}, {'@class': 'new', 'date': '1951', 'aut': 'G. Kersh', 'tit': 'Thousand Deaths of Mr Small', 'num': '334', '#text': 'Mister — either piss or get off the pot!'}, {'date': '1953', 'aut': 'L. Uris', 'tit': 'Battle Cry', 'edn': '1964', 'num': '26', '#text': 'Aw, piss or get off the pot'}, {'@class': 'new', 'date': '1961', 'aut': 'G. Allen', 'tit': 'Forbidden Man', 'num': '26', '#text': 'What I say, they ought to piss or get off the pot. Ain’t — isn’t — that what you say, Professor?'}, {'date': '1974', 'con': '1960s', 'aut': 'R. Price', 'tit': 'Wanderers', 'num': '102', '#text': 'When it looked like piss or get off the pot, he would insult the girl [...] and she would get mad and split'}, {'@class': 'N331', 'date': '1978', 'aut': 'P. Theroux', 'tit': 'Picture Palace', 'num': '39', '#text': 'Now get off the pot'}, {'date': '1982', 'aut': 'J. Sullivan', 'tit': 'Only Fools and Horses', '#text': '‘A Losing Streak’  [TV script] Well, Del, do something or get off the pot'}, {'@class': 'N331', 'date': '1982', 'aut': 'N. Keesing', 'tit': 'Lily on the Dustbin', 'num': '83', '#text': 'An indecisive person is advised, ‘Either piss or get off the pot’'}, {'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '125', 'scaps': ['piss-ant', 'piss or get off the pot'], '#text': 'The Lingo is continually inventing new convolutions and permutations and as more than enough has been said on this  subject it is clearly time to'}, {'date': '2002', 'aut': 'R. Globerman', 'tit': 'Say Uncle', 'num': '172', '#text': 'You wanna learn about sex? Get yourself a woman. How the hell else ya gonna learn? I mean, piss or get off the pot!'}, {'@class': 'new19B', 'date': '2019', 'tit': 'Guardian', '#text': '22 Mar. [Internet] The terms of the extension [...] contain a message from the EU direct to the House of Commons. In crude terms: piss or get off the pot'}]",either make a decision or let someone else do it,1951,comment to Dwight Eisenhower [oral record] General—there comes a time when you have to piss or get off the pot!,2019.0,22 Mar. [Internet] The terms of the extension [...] contain a message from the EU direct to the House of Commons. In crude terms: piss or get off the pot,phrase,piss or get off the pot,piss
late 19C+,"{'@first': 'yes', 'date': '1984', 'aut': 'Partridge', 'tit': 'DSUE', 'edn': '8th edn', 'num': '890/2', '#text': '[...] late C.19–20'}","of a man, to be infected with syphilis",1984,[...] late C.19–20,1984.0,[...] late C.19–20,phrase,piss out of a dozen holes,piss
